ds,temp,wind_speed,humidity,pressure
2021-08-06,26.70,8.50,29.04,917.93
2021-08-07,26.70,8.90,28.21,919.38
2021-08-08,27.50,17.70,24.17,919.10
2021-08-09,27.50,20.90,25.71,917.35
2021-08-10,24.70,10.70,34.17,920.40
2021-08-11,25.80,10.10,30.88,918.81
2021-08-12,27.30,19.60,29.92,917.59
2021-08-13,22.10,14.60,52.08,918.80
2021-08-14,19.00,11.40,62.25,918.34
2021-08-15,16.00,9.80,75.29,919.32
2021-08-16,16.10,12.90,71.33,924.17
2021-08-17,18.80,7.30,53.50,924.68
2021-08-18,21.40,9.20,45.54,921.39
2021-08-19,22.50,20.50,43.62,919.58
2021-08-20,23.50,10.20,41.25,921.21
2021-08-21,22.70,10.00,45.21,922.03
2021-08-22,23.50,10.40,39.21,921.89
2021-08-23,25.60,9.70,32.54,920.76
2021-08-24,25.40,11.90,34.12,921.12
2021-08-25,24.90,12.40,31.42,920.41
2021-08-26,25.10,11.20,27.08,918.07
2021-08-27,25.10,22.80,30.96,917.79
2021-08-28,24.40,16.60,33.42,918.02
2021-08-29,24.10,10.80,29.00,917.04
2021-08-30,24.20,15.00,27.71,917.93
2021-08-31,24.20,20.90,29.08,918.81
2021-09-01,22.20,12.40,34.75,922.84
2021-09-02,22.00,10.90,31.00,920.42
2021-09-03,20.90,10.60,43.71,919.95
2021-09-04,22.70,9.80,30.62,921.47
2021-09-05,24.90,6.80,18.29,923.07
2021-09-06,27.30,7.70,20.21,922.98
2021-09-07,27.00,8.20,22.96,922.63
2021-09-08,26.70,9.40,24.46,922.17
2021-09-09,22.30,12.70,32.33,922.94
2021-09-10,15.20,11.00,64.50,923.69
2021-09-11,18.00,7.70,53.12,921.83
2021-09-12,18.90,8.00,42.00,922.50
2021-09-13,19.10,10.40,31.46,923.16
2021-09-14,19.70,8.00,37.58,923.64
2021-09-15,21.50,9.00,32.29,922.49
2021-09-16,22.40,13.20,28.17,921.39
2021-09-17,22.50,7.80,24.96,919.70
2021-09-18,24.50,9.40,20.12,919.55
2021-09-19,24.40,9.60,26.50,920.54
2021-09-20,16.20,9.80,39.46,925.04
2021-09-21,15.40,11.00,32.50,922.46
2021-09-22,15.40,8.70,33.04,921.98
2021-09-23,16.40,8.40,32.17,922.44
2021-09-24,13.00,9.00,34.54,926.22
2021-09-25,13.10,12.50,34.00,926.15
2021-09-26,18.80,8.30,22.62,920.52
2021-09-27,20.00,19.10,27.79,920.05
2021-09-28,17.20,10.30,47.04,922.48
2021-09-29,17.90,8.70,38.58,922.54
2021-09-30,18.00,11.90,39.12,923.93
