ds,temp,wind_speed
2021-09-21,15.4,11.0
2021-09-22,15.4,8.7
2021-09-23,16.4,8.4
2021-09-24,13.0,9.0
2021-09-25,13.1,12.5
2021-09-26,18.8,8.3
2021-09-27,20.0,19.1
2021-09-28,17.2,10.3
2021-09-29,17.9,8.7
2021-09-30,18.0,11.9
2021-10-01,8.6,11.5
2021-10-02,3.7,12.6
2021-10-03,7.7,8.6
2021-10-04,9.7,8.9
2021-10-05,8.1,11.2
2021-10-06,-0.9,9.9
2021-10-07,0.0,9.2
2021-10-08,2.7,14.4
2021-10-09,7.0,15.0
2021-10-10,6.8,17.0
2021-10-11,7.9,8.0
2021-10-12,5.4,9.2
2021-10-13,4.4,18.3
2021-10-14,8.0,14.4
2021-10-15,10.0,9.3
2021-10-16,10.6,6.0
2021-10-17,10.8,6.5
2021-10-18,9.1,10.1
2021-10-19,11.4,10.6
2021-10-20,12.4,10.6
2021-10-21,12.3,16.6
2021-10-22,2.4,15.8
2021-10-23,3.8,9.3
2021-10-24,4.8,11.3
2021-10-25,8.2,19.2
2021-10-26,9.9,9.9
2021-10-27,10.8,9.5
2021-10-28,9.5,7.3
2021-10-29,6.8,8.7
2021-10-30,6.7,9.8
2021-10-31,8.1,13.0
2021-11-01,6.9,5.8
2021-11-02,7.7,9.8
2021-11-03,4.0,14.2
2021-11-04,-10.6,11.7
2021-11-05,-10.6,14.2
2021-11-06,-5.1,22.6
2021-11-07,-4.3,17.3
2021-11-08,-1.4,16.4
2021-11-09,2.6,7.6
2021-11-10,2.8,9.0
2021-11-11,3.7,7.6
2021-11-12,6.3,6.5
2021-11-13,5.9,6.7
2021-11-14,4.8,8.0
2021-11-15,1.0,9.8
2021-11-16,0.2,16.0
2021-11-17,2.1,22.1
2021-11-18,-4.2,14.1
2021-11-19,-3.9,12.2
2021-11-20,-2.9,25.5
2021-11-21,3.4,11.4
2021-11-22,6.0,9.7
2021-11-23,7.0,6.7
2021-11-24,6.7,6.1
2021-11-25,7.1,9.2
2021-11-26,-0.4,16.5
2021-11-27,-4.2,10.3
2021-11-28,-2.3,14.8
2021-11-29,0.9,8.7
2021-11-30,3.1,7.9
2021-12-01,5.1,7.2
2021-12-02,4.7,9.7
2021-12-03,8.3,11.7
2021-12-04,3.5,9.4
2021-12-05,1.7,13.4
2021-12-06,2.2,8.6
2021-12-07,2.7,9.4
2021-12-08,3.3,7.7
2021-12-09,-3.7,12.0
2021-12-10,-4.3,18.3
2021-12-11,0.3,17.6
2021-12-12,3.6,9.1
2021-12-13,1.2,6.2
2021-12-14,-1.2,6.4
2021-12-15,-1.6,7.2
2021-12-16,-3.2,8.8
2021-12-17,-0.7,12.2
2021-12-18,3.6,7.9
2021-12-19,5.8,8.9
2021-12-20,4.5,11.0
2021-12-21,3.4,8.3
2021-12-22,3.9,14.8
2021-12-23,4.3,10.9
2021-12-24,1.4,14.1
2021-12-25,1.4,12.1
2021-12-26,-0.7,10.2
2021-12-27,-1.3,8.4
2021-12-28,-4.1,13.0
2021-12-29,-1.5,10.6
2021-12-30,-4.1,13.9
2021-12-31,-2.9,17.0
2022-01-01,2.7,7.3
2022-01-02,1.5,7.1
2022-01-03,1.7,9.0
2022-01-04,2.8,11.7
2022-01-05,0.6,10.8
2022-01-06,-0.5,13.4
2022-01-07,0.2,8.4
2022-01-08,-1.5,16.4
2022-01-09,-2.1,11.5
2022-01-10,-3.8,14.7
2022-01-11,-3.2,14.2
2022-01-12,1.1,7.6
2022-01-13,1.6,8.7
2022-01-14,1.5,9.8
2022-01-15,3.0,11.8
2022-01-16,5.7,19.3
2022-01-17,1.8,12.8
2022-01-18,-0.4,9.1
2022-01-19,0.1,15.9
2022-01-20,0.0,13.2
2022-01-21,-3.1,14.7
2022-01-22,-1.6,5.5
2022-01-23,-3.2,10.8
2022-01-24,-2.6,6.9
2022-01-25,-4.8,7.5
2022-01-26,-2.5,6.6
2022-01-27,-2.2,7.3
2022-01-28,-4.2,11.7
2022-01-29,-0.1,7.9
2022-01-30,-0.6,4.9
2022-01-31,-2.4,6.7
2022-02-01,-2.9,8.7
2022-02-02,-3.4,15.8
2022-02-03,-1.0,6.5
2022-02-04,-2.9,9.2
2022-02-05,-2.0,11.1
2022-02-06,-1.2,12.0
2022-02-07,-0.2,8.6
2022-02-08,-3.2,9.7
2022-02-09,-2.5,9.2
2022-02-10,-2.7,9.4
2022-02-11,-3.0,10.7
2022-02-12,-0.2,9.5
2022-02-13,-4.0,12.3
