date,9,temp,wind_speed,humidity,pressure
2018-12-22,64.0,-7.4,14.4,56.5,914.31
2018-12-23,73.0,-2.3,8.7,34.25,915.38
2018-12-24,93.0,-2.8,7.4,68.12,918.36
2018-12-25,125.0,-6.3,11.1,86.38,916.28
2018-12-26,104.0,-8.8,13.6,72.96,917.45
2018-12-27,171.0,-5.4,9.7,74.29,920.11
2018-12-28,86.0,-5.1,11.3,76.79,914.78
2018-12-29,35.0,-2.5,17.9,54.67,907.95
2018-12-30,33.0,0.1,11.4,67.88,917.39
2018-12-31,70.0,-5.0,14.6,92.0,922.18
2019-01-01,79.0,-5.8,19.6,89.25,917.41
2019-01-02,74.0,-3.1,11.8,81.88,917.67
2019-01-03,78.0,-3.0,7.2,76.08,918.43
2019-01-04,37.0,-2.6,9.4,68.75,911.56
2019-01-05,94.0,-6.2,7.4,92.62,919.66
2019-01-06,93.0,-6.3,13.4,80.75,920.98
2019-01-07,37.0,-3.2,9.8,34.96,908.4
2019-01-08,15.0,-0.6,9.8,31.62,906.4
2019-01-09,51.0,0.7,10.3,80.46,915.69
2019-01-10,68.0,-2.2,7.1,68.12,910.5
2019-01-11,98.0,-5.0,13.4,73.0,910.55
2019-01-12,29.0,-2.1,6.3,86.25,922.1
2019-01-13,71.0,-5.2,9.0,85.04,921.18
2019-01-14,54.0,-2.3,9.4,42.62,911.77
2019-01-15,29.0,0.4,12.0,45.58,905.67
2019-01-16,35.0,1.5,6.9,85.83,914.83
2019-01-17,114.0,-1.3,6.8,91.88,916.47
2019-01-18,61.0,-1.9,18.8,66.25,909.09
2019-01-19,39.0,0.9,13.7,50.92,911.12
2019-01-20,69.0,-1.3,15.3,62.58,906.39
2019-01-21,35.0,-1.4,8.2,87.88,918.92
2019-01-22,61.0,-4.4,8.4,94.25,916.56
2019-01-23,52.0,-4.5,8.1,93.33,915.74
2019-01-24,51.0,-2.5,5.8,75.17,921.06
2019-01-25,83.0,-2.6,8.4,62.75,922.35
2019-01-26,93.0,-2.1,5.8,55.33,916.08
2019-01-27,30.0,0.6,6.6,24.38,919.02
2019-01-28,115.0,-8.0,14.6,75.08,921.28
2019-01-29,83.0,-8.8,17.4,58.62,917.38
2019-01-30,57.0,-3.6,17.7,51.04,907.46
2019-01-31,18.0,0.6,9.7,61.5,911.52
2019-02-01,53.0,-6.4,11.2,92.25,919.3
2019-02-02,77.0,-8.5,16.9,76.62,917.4
2019-02-03,47.0,-5.4,14.1,55.38,914.98
2019-02-04,53.0,0.3,6.6,32.0,913.12
2019-02-05,41.0,0.6,9.7,58.83,911.85
2019-02-06,29.0,-7.9,12.2,79.71,919.77
2019-02-07,104.0,-13.3,10.5,65.17,920.76
2019-02-08,71.0,-9.8,9.0,63.67,921.06
2019-02-09,46.0,-7.0,14.7,53.58,913.8
2019-02-10,63.0,-0.9,10.2,62.46,912.65
2019-02-11,80.0,-0.7,9.7,72.67,912.85
2019-02-12,64.0,-3.0,8.1,88.96,916.95
2019-02-13,100.0,-7.6,21.1,78.83,913.1
2019-02-14,85.0,-3.3,18.1,76.75,913.62
2019-02-15,25.0,-1.3,9.0,93.5,917.32
2019-02-16,76.0,-1.8,9.2,89.42,914.86
2019-02-17,62.0,-0.5,12.7,64.21,900.29
2019-02-18,39.0,-1.1,12.8,75.42,905.28
2019-02-19,55.0,-2.2,13.3,90.21,906.1
2019-02-20,24.0,-0.2,9.4,72.33,910.34
2019-02-21,22.0,-4.5,17.6,82.21,922.79
2019-02-22,60.0,-5.4,10.5,85.29,923.08
2019-02-23,60.0,-3.8,13.0,57.25,916.29
2019-02-24,30.0,1.5,6.9,15.12,914.82
2019-02-25,39.0,2.2,6.1,25.62,913.8
2019-02-26,58.0,2.5,4.6,22.38,910.06
2019-02-27,73.0,2.4,4.7,24.5,907.54
2019-02-28,70.0,3.7,11.0,28.54,901.34
2019-03-01,65.0,3.8,8.5,32.54,902.16
2019-03-02,90.0,5.6,10.5,32.08,898.16
2019-03-03,33.0,2.1,11.9,77.0,909.33
2019-03-04,26.0,3.7,10.1,72.5,910.1
2019-03-05,53.0,2.2,7.6,86.58,915.13
2019-03-06,45.0,3.7,10.8,64.17,913.42
2019-03-07,64.0,1.0,6.3,84.79,914.0
2019-03-08,65.0,3.7,9.4,71.21,915.68
2019-03-09,50.0,4.0,8.0,60.92,918.65
2019-03-10,71.0,1.4,7.5,78.58,917.88
2019-03-11,67.0,2.8,6.4,73.42,915.56
2019-03-12,77.0,4.1,7.7,63.58,916.05
2019-03-13,47.0,8.0,6.8,27.83,917.32
2019-03-14,70.0,7.9,9.4,34.25,913.8
2019-03-15,44.0,8.9,8.2,37.21,913.12
2019-03-16,39.0,11.4,13.5,33.33,912.73
2019-03-17,69.0,10.7,9.2,49.67,910.5
2019-03-18,58.0,7.9,11.1,57.42,908.28
2019-03-19,42.0,2.3,11.0,53.08,909.63
